term,estimate,std.error,statistic,p.value
(Intercept),-242.8184086382378,5.710111722087658,-42.52428331637996,2.9411552332976303e-203
log_mil,-0.11507768005098748,0.014958935007495237,-7.692905945064092,4.4585555925179466e-14
ar,0.12695448731477915,0.002789691507437989,45.50843237551103,2.361655725596674e-219
