pris,mil,ar,hk,cc,bransle,vaxellada,drivning,datum_i_trafik,marke,modell,biltyp,saljare,farg,alder,log_pris,log_mil
429000,8008,2020,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Mörkgrå (Grå),5,12.969212197910155,8.988196320995057
389000,5036,2021,266,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Grå,4,12.871334622600584,8.524367395164237
444800,12582,2017,407,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Företag,Grå,8,13.00538002191851,9.440022500129976
499000,1356,2024,404,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,1,13.120361374733656,7.212294468500341
429000,7000,2021,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit,4,12.969212197910155,8.85366542803745
414900,8412,2020,391,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Vit (Pärlemor-Metallic Vit),5,12.93579280632096,9.03741453682259
424900,4459,2021,391,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Röd (Pärlemor-Metallic Röd),4,12.959609126102903,8.402679804627477
314900,15637,2019,392,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Vit,6,12.660010407089116,9.65739517984351
459500,2051,2023,214,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Röd,2,13.03789422077788,7.62608275807238
369900,4504,2022,211,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,3,12.820987977820545,8.412721169819527
378800,8199,2020,392,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Svart,5,12.84476364029406,9.011767474596178
329900,7750,2021,211,1477,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,XC40,SUV,Företag,Svart,4,12.706544857216672,8.955448122347393
469000,8712,2021,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Silver,4,13.058358047428417,9.072456664612796
464800,5839,2020,304,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,Kombi,Företag,Svart (Onyx Svart Metallic),5,13.049362484519838,8.672314828283538
35900,19123,2007,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Privat,Röd,18,10.48849257447637,9.858647078062974
399000,15200,2016,407,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC90,SUV,Privat,Svart,9,12.896716695872,9.629050706834368
269000,11511,2020,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Silver,5,12.502466658583977,9.351058378915061
44900,16499,2008,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,C30,Halvkombi,Företag,Röd,17,10.712193073730345,9.711055051991444
348900,3687,2020,340,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Svart,5,12.762540627174866,8.212568398234145
639000,4600,2023,399,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,XC60,SUV,Företag,Grå,2,13.367659733359671,8.433811582477187
369000,1880,2021,340,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V60,Kombi,Företag,Röd (Vinröd),4,12.818551923022664,7.539027055823995
39900,24000,2008,126,1798,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V50,Kombi,Företag,Ljusblå (Blå),17,10.594131602877955,10.085809109330082
549000,2473,2022,396,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,V90,Kombi,Företag,Grå,3,13.215853720491667,7.813187267521416
697800,0,2024,344,1969,Miljöbränsle/Hybrid,Automat,Fyrhjulsdriven,NA,Volvo,S60,Sedan,Företag,Silver,1,13.455687807734812,NA
29900,21285,2002,141,2435,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,S60,Sedan,Företag,Röd,23,10.305613759378778,9.965757878262252
59800,35499,2009,200,2521,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Företag,Grå,16,10.998760939938723,10.477259806052668
89000,18931,2010,232,2521,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,15,11.396391648714276,9.84855606900991
80000,18550,2009,146,1999,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Brun,16,11.289781913656018,9.82822506803558
27000,38240,2009,146,1999,Miljöbränsle/Hybrid,Manuell,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Grå,16,10.203592144986466,10.551637367165338
56000,39000,2015,214,1984,Miljöbränsle/Hybrid,Automat,Tvåhjulsdriven,NA,Volvo,V70,Kombi,Privat,Svart,10,10.933106969717286,10.571316925111784
